fecha,valor,indice
1943-03-31,1.6,101.6
1943-04-30,0.7,102.3112
1943-05-31,-0.9,101.3904
1943-06-30,0.1,101.4918
1943-07-31,-5.6,95.8082
1943-08-31,1.0,96.7663
1943-09-30,-0.9,95.8954
1943-10-31,1.0,96.8544
1943-11-30,0.0,96.8544
1943-12-31,-0.3,96.5638
1944-01-31,0.7,97.2398
1944-02-29,0.2,97.4343
1944-03-31,0.6,98.0189
1944-04-30,-1.1,96.9407
1944-05-31,-0.4,96.5529
1944-06-30,1.8,98.2908
1944-07-31,-0.1,98.1925
1944-08-31,1.4,99.5672
1944-09-30,-0.2,99.3681
1944-10-31,0.7,100.0637
1944-11-30,0.0,100.0637
1944-12-31,0.2,100.2638
1945-01-31,7.8,108.0844
1945-02-28,1.9,110.138
1945-03-31,7.5,118.3983
1945-04-30,0.1,118.5167
1945-05-31,0.3,118.8723
1945-06-30,0.1,118.9912
1945-07-31,1.2,120.4191
1945-08-31,-0.9,119.3353
1945-09-30,0.6,120.0513
1945-10-31,0.1,120.1714
1945-11-30,0.2,120.4117
1945-12-31,2.2,123.0608
1946-01-31,7.0,131.675
1946-02-28,0.2,131.9384
1946-03-31,2.9,135.7646
1946-04-30,1.7,138.0726
1946-05-31,-0.3,137.6583
1946-06-30,1.7,139.9985
1946-07-31,0.2,140.2785
1946-08-31,-0.7,139.2966
1946-09-30,0.1,139.4359
1946-10-31,2.5,142.9218
1946-11-30,0.4,143.4935
1946-12-31,1.7,145.9329
1947-01-31,-0.9,144.6195
1947-02-28,0.7,145.6318
1947-03-31,6.1,154.5153
1947-04-30,0.1,154.6699
1947-05-31,0.1,154.8245
1947-06-30,4.7,162.1013
1947-07-31,-1.1,160.3182
1947-08-31,0.9,161.761
1947-09-30,0.1,161.9228
1947-10-31,-0.5,161.1132
1947-11-30,0.9,162.5632
1947-12-31,3.2,167.7652
1948-01-31,-1.6,165.081
1948-02-29,-0.3,164.5857
1948-03-31,1.8,167.5483
1948-04-30,0.6,168.5536
1948-05-31,2.5,172.7674
1948-06-30,2.9,177.7776
1948-07-31,-0.2,177.4221
1948-08-31,2.1,181.148
1948-09-30,4.1,188.575
1948-10-31,0.3,189.1407
1948-11-30,0.2,189.519
1948-12-31,5.3,199.5635
1949-01-31,0.5,200.5614
1949-02-28,-0.3,199.9597
1949-03-31,6.8,213.5569
1949-04-30,4.9,224.0212
1949-05-31,2.9,230.5178
1949-06-30,1.2,233.2841
1949-07-31,1.9,237.7164
1949-08-31,1.7,241.7576
1949-09-30,1.6,245.6257
1949-10-31,2.7,252.2576
1949-11-30,3.2,260.3299
1949-12-31,2.4,266.5778
1950-01-31,-1.8,261.7794
1950-02-28,2.6,268.5857
1950-03-31,0.0,268.5857
1950-04-30,2.2,274.4946
1950-05-31,4.8,287.6703
1950-06-30,2.9,296.0127
1950-07-31,0.0,296.0127
1950-08-31,0.2,296.6048
1950-09-30,4.0,308.4689
1950-10-31,3.8,320.1908
1950-11-30,-0.2,319.5504
1950-12-31,2.0,325.9414
1951-01-31,-1.0,322.682
1951-02-28,2.9,332.0398
1951-03-31,0.3,333.0359
1951-04-30,9.0,363.0091
1951-05-31,7.5,390.2348
1951-06-30,3.3,403.1125
1951-07-31,0.8,406.3374
1951-08-31,9.3,444.1268
1951-09-30,-1.9,435.6884
1951-10-31,3.0,448.7591
1951-11-30,0.3,450.1053
1951-12-31,8.7,489.2645
1952-01-31,3.9,508.3458
1952-02-29,0.7,511.9042
1952-03-31,2.9,526.7495
1952-04-30,6.2,559.4079
1952-05-31,1.6,568.3585
1952-06-30,2.1,580.294
1952-07-31,-4.1,556.5019
1952-08-31,-0.4,554.2759
1952-09-30,3.4,573.1213
1952-10-31,1.0,578.8525
1952-11-30,0.3,580.5891
1952-12-31,0.4,582.9114
1953-01-31,-1.3,575.3336
1953-02-28,5.8,608.7029
1953-03-31,-0.5,605.6594
1953-04-30,-4.2,580.2217
1953-05-31,-1.6,570.9382
1953-06-30,-0.2,569.7963
1953-07-31,0.8,574.3547
1953-08-31,0.1,574.929
1953-09-30,-0.7,570.9045
1953-10-31,-0.4,568.6209
1953-11-30,0.7,572.6012
1953-12-31,1.1,578.8999
1954-01-31,-2.0,567.3219
1954-02-28,-0.2,566.1872
1954-03-31,0.2,567.3196
1954-04-30,2.1,579.2333
1954-05-31,-0.2,578.0748
1954-06-30,1.6,587.324
1954-07-31,2.2,600.2452
1954-08-31,0.7,604.4469
1954-09-30,2.4,618.9536
1954-10-31,2.9,636.9033
1954-11-30,1.0,643.2723
1954-12-31,4.4,671.5763
1955-01-31,-2.2,656.8016
1955-02-28,0.1,657.4584
1955-03-31,0.1,658.1159
1955-04-30,1.4,667.3295
1955-05-31,0.1,667.9968
1955-06-30,0.6,672.0048
1955-07-31,0.4,674.6928
1955-08-31,0.3,676.7169
1955-09-30,0.7,681.4539
1955-10-31,-0.1,680.7724
1955-11-30,0.0,680.7724
1955-12-31,5.7,719.5765
1956-01-31,-1.3,710.222
1956-02-29,-0.8,704.5402
1956-03-31,-0.2,703.1311
1956-04-30,3.5,727.7407
1956-05-31,3.8,755.3949
1956-06-30,3.9,784.8553
1956-07-31,-0.5,780.931
1956-08-31,-0.5,777.0263
1956-09-30,0.6,781.6885
1956-10-31,1.3,791.8504
1956-11-30,1.5,803.7282
1956-12-31,4.4,839.0922
1957-01-31,-1.1,829.8622
1957-02-28,0.8,836.5011
1957-03-31,3.6,866.6152
1957-04-30,2.7,890.0138
1957-05-31,2.8,914.9342
1957-06-30,3.8,949.7017
1957-07-31,1.8,966.7963
1957-08-31,5.4,1019.0033
1957-09-30,-0.2,1016.9653
1957-10-31,1.1,1028.1519
1957-11-30,2.5,1053.8557
1957-12-31,0.0,1053.8557
1958-01-31,-2.6,1026.4554
1958-02-28,1.4,1040.8258
1958-03-31,1.7,1058.5199
